ds,model,n_estimators,n_rf,score,threshold,vote_pct
128,mnist_512,10.0,10.0,0.9861151527748909,0.4,0.4050208782327586
128,mnist_512,10.0,10.0,0.9958342631853009,0.5,0.22634361530172414
128,mnist_512,10.0,10.0,0.9990552668871044,0.6000000000000001,0.10693359375
128,mnist_512,10.0,10.0,0.9996258885147774,0.7000000000000001,0.04500606142241379
128,mnist_512,10.0,10.0,1.0,0.8,0.017123518318965518
128,mnist_512,10.0,10.0,1.0,0.9,0.002087823275862069
256,mnist_512,10.0,10.0,0.8374360183189655,0.0,1.0
256,mnist_512,10.0,10.0,0.8374360183189655,0.1,1.0
256,mnist_512,10.0,10.0,0.8489557370004297,0.2,0.9795090247844828
256,mnist_512,10.0,10.0,0.9261594659824748,0.30000000000000004,0.7743635506465517
256,mnist_512,10.0,10.0,0.9705779436636146,0.4,0.5774178340517241
256,mnist_512,10.0,10.0,0.9909442588359416,0.5,0.3830145474137931
256,mnist_512,10.0,10.0,0.9972482113373693,0.6000000000000001,0.2141534213362069
256,mnist_512,10.0,10.0,0.9986340871148884,0.7000000000000001,0.11094086745689655
256,mnist_512,10.0,10.0,0.9996790757381258,0.8,0.05246497844827586
256,mnist_512,10.0,10.0,1.0,0.9,0.015355603448275862
512,mnist_512,10.0,10.0,0.857842807112069,0.0,1.0
512,mnist_512,10.0,10.0,0.857842807112069,0.1,1.0
512,mnist_512,10.0,10.0,0.866565204008345,0.2,0.9846107219827587
512,mnist_512,10.0,10.0,0.9315936205977615,0.30000000000000004,0.821356411637931
512,mnist_512,10.0,10.0,0.9714345125152705,0.4,0.6477808459051724
512,mnist_512,10.0,10.0,0.9899492017416546,0.5,0.46403556034482757
512,mnist_512,10.0,10.0,0.9974754887571186,0.6000000000000001,0.28678946659482757
512,mnist_512,10.0,10.0,0.9991349480968859,0.7000000000000001,0.1557112068965517
512,mnist_512,10.0,10.0,0.9997691597414589,0.8,0.07293911637931035
512,mnist_512,10.0,10.0,1.0,0.9,0.02195581896551724
128,mnist_512,100.0,1.0,0.7911166487068966,0.0,1.0
128,mnist_512,100.0,1.0,0.7911166487068966,0.1,1.0
128,mnist_512,100.0,1.0,0.8140198270852776,0.2,0.9562062230603449
128,mnist_512,100.0,1.0,0.9284037558685446,0.30000000000000004,0.6598868534482759
128,mnist_512,100.0,1.0,0.9783823931824401,0.4,0.4307145743534483
128,mnist_512,100.0,1.0,0.9942964457119009,0.5,0.2420696390086207
128,mnist_512,100.0,1.0,0.9987594975965266,0.6000000000000001,0.10858364762931035
128,mnist_512,100.0,1.0,0.9995719178082192,0.7000000000000001,0.03933189655172414
128,mnist_512,100.0,1.0,1.0,0.8,0.008991109913793104
128,mnist_512,100.0,1.0,1.0,0.9,0.00016837284482758622
256,mnist_512,100.0,1.0,0.8195211476293104,0.0,1.0
256,mnist_512,100.0,1.0,0.8195211476293104,0.1,1.0
256,mnist_512,100.0,1.0,0.830102093430958,0.2,0.9796268857758621
256,mnist_512,100.0,1.0,0.9101600998707813,0.30000000000000004,0.7687735721982759
256,mnist_512,100.0,1.0,0.960355819125278,0.4,0.5678374191810345
256,mnist_512,100.0,1.0,0.9879832118400707,0.5,0.3811119342672414
256,mnist_512,100.0,1.0,0.9962218528033853,0.6000000000000001,0.2228246228448276
256,mnist_512,100.0,1.0,0.9992980485750386,0.7000000000000001,0.11993197737068965
256,mnist_512,100.0,1.0,0.9997184684684685,0.8,0.05980603448275862
256,mnist_512,100.0,1.0,1.0,0.9,0.016753098060344827
512,mnist_512,100.0,1.0,0.84375,0.0,1.0
